Street 	Side 	Low 	High 	Elementary 	Middle 	High School
Abbey Ct 	All 	304 	345 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Ackerman Ave 	All 	108 	280 	Orchard 	George Washington MS 	Ridgewood High School
Addison Pl 	All 	409 	420 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Alanon Rd 	All 	606 	677 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Albert Pl 	All 	610 	721 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Albin Ct 	All 	395 	480 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Allen Pl 	All 	303 	316 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Allison Ct 	All 	970 	983 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Alpine Ter 	All 	404 	511 	Willard 	George Washington MS 	Ridgewood High School
Amsterdam Ave 	All 	505 	548 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Andover Ter 	All 	919 	1001 	Willard 	George Washington MS 	Ridgewood High School
Arcadia Rd 	All 	634 	686 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Arden Ct 	All 	415 	427 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Arrow Ln 	All 	785 	828 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Auburn Ave 	All 	826 	862 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Avondale Rd 	All 	80 	241 	Willard 	George Washington MS 	Ridgewood High School
Banta St 	All 	525 	538 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Barnes Dr 	All 	940 	965 	Willard 	George Washington MS 	Ridgewood High School
Barnett Pl 	All 	541 	625 	Willard 	George Washington MS 	Ridgewood High School
Barrington Rd 	All 	24 	71 	Willard 	George Washington MS 	Ridgewood High School
Bartell Pl 	All 	610 	652 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Bedford Rd 	All 	221 	430 	Willard 	George Washington MS 	Ridgewood High School
Beechwood Rd 	All 	144 	405 	Ridge 	George Washington MS 	Ridgewood High School
Bellair Rd 	Odd 	125 	215 	Orchard 	George Washington MS 	Ridgewood High School
Bellair Rd 	Even 	140 	220 	Orchard 	George Washington MS 	Ridgewood High School
Bellair Rd 	Odd 	257 	295 	Ridge 	George Washington MS 	Ridgewood High School
Bellair Rd 	Even 	262 	294 	Orchard 	George Washington MS 	Ridgewood High School
Belmont Rd 	All 	623 	756 	Willard 	George Washington MS 	Ridgewood High School
Bennington Ter 	All 	520 	580 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Bergen Ct 	All 	131 	149 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Berkshire Rd 	All 	382 	499 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Best Ct 	All 	897 	907 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Betty Ct 	All 	2 	6 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Beveridge Rd 	All 	330 	411 	Willard 	George Washington MS 	Ridgewood High School
Beverly Rd 	All 	419 	483 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Bingham Rd 	All 	785 	861 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Bogert Ave 	All 	227 	469 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Boyce Pl 	All 	43 	114 	Orchard 	George Washington MS 	Ridgewood High School
Brainard Pl 	All 	32 	45 	Orchard 	George Washington MS 	Ridgewood High School
Briarcliff Rd 	All 	248 	266 	Orchard 	George Washington MS 	Ridgewood High School
Brookmere Ct 	All 	245 	336 	Ridge 	George Washington MS 	Ridgewood High School
Brookside Ave 	All 	4 	256 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Bryden Pl 	All 	32 	38 	Willard 	George Washington MS 	Ridgewood High School
Burnside Pl 	All 	223 	275 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Busteed Dr 	All 	72 	100 	Ridge 	George Washington MS 	Ridgewood High School
California St 	All 	61 	234 	Willard 	George Washington MS 	Ridgewood High School
Cambridge Rd 	All 	415 	473 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Cameron Ln 	All 	38 	88 	Ridge 	George Washington MS 	Ridgewood High School
Canterbury Pl 	All 	215 	255 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Cantrell Rd 	All 	276 	329 	Ridge 	George Washington MS 	Ridgewood High School
Carlisle Ter 	All 	105 	172 	Orchard 	George Washington MS 	Ridgewood High School
Carlton Ter 	All 	330 	360 	Ridge 	George Washington MS 	Ridgewood High School
Carolina Pl 	All 	1 	10 	Ridge 	George Washington MS 	Ridgewood High School
Carriage Ln 	All 	12 	36 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Cathleen Ter 	All 	11 	23 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Cedar Ave 	All 	315 	388 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Cedarcroft Rd 	All 	262 	282 	Orchard 	George Washington MS 	Ridgewood High School
Chelsea Pl 	All 	31 	36 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Cherry Ln 	All 	453 	461 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Chesterfield St 	All 	365 	384 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Chestnut St 	All 	9 	58 	Orchard 	George Washington MS 	Ridgewood High School
Chestnut St 	All 	73 	233 	Ridge 	George Washington MS 	Ridgewood High School
Christopher Pl 	All 	6 	33 	Orchard 	George Washington MS 	Ridgewood High School
Circle Ave 	All 	15 	251 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Claremont Rd 	All 	111 	278 	Ridge 	George Washington MS 	Ridgewood High School
Cliff St 	All 	532 	598 	Willard 	George Washington MS 	Ridgewood High School
Clinton Ave 	All 	4 	75 	Ridge 	George Washington MS 	Ridgewood High School
Collingwood Pl 	All 	107 	108 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Colonial Rd 	All 	379 	489 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Colwell Ct 	All 	400 	429 	Willard 	George Washington MS 	Ridgewood High School
Concord Rd 	All 	610 	639 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Corella Ct 	All 	500 	509 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Corona Pl 	All 	333 	371 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Corsa Ter 	All 	10 	39 	Ridge 	George Washington MS 	Ridgewood High School
Cottage Pl 	All 	34 	49 	Orchard 	George Washington MS 	Ridgewood High School
Cottage Pl 	All 	104 	176 	Ridge 	George Washington MS 	Ridgewood High School
Coventry Ct 	All 	17 	40 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Crest Rd 	All 	37 	389 	Ridge 	George Washington MS 	Ridgewood High School
Daniel Ct 	All 	19 	34 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Darby Ct 	All 	491 	505 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Dayton St 	All 	141 	235 	Orchard 	George Washington MS 	Ridgewood High School
Dayton St 	All 	309 	316 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Deerfield St 	All 	369 	377 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Delaware Ave 	All 	610 	674 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Demarest St 	All 	230 	242 	Orchard 	George Washington MS 	Ridgewood High School
Devon Ct 	All 	336 	356 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Dorchester Rd 	All 	427 	501 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Doremus Ave 	All 	110 	251 	Orchard 	George Washington MS 	Ridgewood High School
Doris Pl 	All 	615 	645 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Douglas Pl 	All 	33 	34 	Ridge 	George Washington MS 	Ridgewood High School
Downing St 	All 	10 	512 	Willard 	George Washington MS 	Ridgewood High School
Downs St 	All 	311 	369 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Durar Ave 	All 	1 	355 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
East Glen Ave 	Odd 	11 	49 	Willard 	George Washington MS 	Ridgewood High School
East Glen Ave 	Even 	26 	36 	Ridge 	George Washington MS 	Ridgewood High School
East Glen Ave 	All 	206 	714 	Travell 	Benjamin Franklin MS 	Ridgewood High School
East Glen Ave 	All 	781 	986 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
East Ridgewood Ave 	All 	1 	257 	Orchard 	George Washington MS 	Ridgewood High School
East Ridgewood Ave 	All 	305 	1250 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
East Saddle River Rd 	All 	415 	541 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Eastbrook Rd 	All 	281 	653 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Eastern Ct 	All 	671 	699 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Eastgate Rd 	All 	416 	501 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Eastside Ave 	All 	267 	309 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Eastside Ave 	All 	315 	341 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Edwards St 	All 	251 	283 	Orchard 	George Washington MS 	Ridgewood High School
Elaine Ter 	All 	913 	939 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Eldon Ct 	All 	276 	281 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Ellington Rd 	All 	614 	714 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Elm Ct 	All 	401 	401 	Ridge 	George Washington MS 	Ridgewood High School
Elmsley Ct 	All 	100 	210 	Ridge 	George Washington MS 	Ridgewood High School
Emker Ter 	All 	550 	556 	Willard 	George Washington MS 	Ridgewood High School
Emmett Pl 	All 	203 	252 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Ethelbert Pl 	All 	6 	69 	Orchard 	George Washington MS 	Ridgewood High School
Eton Ct 	All 	408 	432 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Evergreen Pl 	All 	348 	385 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Fairfield Ave 	All 	206 	531 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Fairmount Rd 	All 	7 	379 	Willard 	George Washington MS 	Ridgewood High School
Fairway Rd 	All 	317 	489 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Fairway Rd 	All 	505 	576 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Farview St 	All 	415 	589 	Willard 	George Washington MS 	Ridgewood High School
Fernwood Ct 	All 	742 	750 	Willard 	George Washington MS 	Ridgewood High School
Ferris Pl 	All 	250 	303 	Ridge 	George Washington MS 	Ridgewood High School
First St 	All 	102 	238 	Willard 	George Washington MS 	Ridgewood High School
Foster Ter 	All 	129 	166 	Orchard 	George Washington MS 	Ridgewood High School
Fox Ct 	All 	615 	639 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Franklin Ave 	Even 	4 	260 	Orchard 	George Washington MS 	Ridgewood High School
Franklin Ave 	Odd 	1 	263 	Ridge 	George Washington MS 	Ridgewood High School
Franklin Ave 	All 	300 	367 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Franklin Tpk 	All 	270 	657 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Frederick St 	All 	603 	636 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Garber Sq 	All 	2 	30 	Ridge 	George Washington MS 	Ridgewood High School
Gardner Rd 	All 	204 	325 	Orchard 	George Washington MS 	Ridgewood High School
Garfield Pl 	All 	17 	72 	Ridge 	George Washington MS 	Ridgewood High School
Gateway Rd 	All 	202 	267 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
George St 	All 	409 	469 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Gilbert St 	All 	300 	399 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Glenview Rd 	All 	900 	940 	Willard 	George Washington MS 	Ridgewood High School
Glenwood Rd 	All 	45 	399 	Willard 	George Washington MS 	Ridgewood High School
Godwin Ave 	Even 	2 	276 	Orchard 	George Washington MS 	Ridgewood High School
Godwin Ave 	Odd 	5 	237 	Ridge 	George Washington MS 	Ridgewood High School
Godwin Ave 	All 	284 	414 	Ridge 	George Washington MS 	Ridgewood High School
Goffle Rd 	All 	218 	579 	Ridge 	George Washington MS 	Ridgewood High School
Gordon Rd 	All 	480 	495 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Grandview Cir 	Odd 	295 	372 	Orchard 	George Washington MS 	Ridgewood High School
Grandview Cir 	Even 	295 	372 	Ridge 	George Washington MS 	Ridgewood High School
Grant St 	All 	139 	175 	Ridge 	George Washington MS 	Ridgewood High School
Graydon Ter 	All 	306 	380 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Greenway Rd 	All 	201 	332 	Orchard 	George Washington MS 	Ridgewood High School
Grove St 	All 	379 	722 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Hamilton Rd 	All 	70 	411 	Willard 	George Washington MS 	Ridgewood High School
Hammond Rd 	All 	898 	914 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Hampshire Rd 	All 	900 	921 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Hampton Pl 	All 	104 	105 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Hampton Pl 	All 	159 	169 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Hanks Ave 	All 	401 	498 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Hawthorne Pl 	All 	414 	456 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Heermance Pl 	All 	46 	56 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Heights Rd 	All 	5 	405 	Ridge 	George Washington MS 	Ridgewood High School
Heights Rd 	All 	434 	726 	Willard 	George Washington MS 	Ridgewood High School
Hempstead Rd 	All 	204 	271 	Orchard 	George Washington MS 	Ridgewood High School
Henrietta Ct 	All 	3 	21 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Hickory St 	All 	574 	580 	Travell 	Benjamin Franklin MS 	Ridgewood High School
High St 	All 	3 	42 	Orchard 	George Washington MS 	Ridgewood High School
Highland Ave 	All 	107 	353 	Ridge 	George Washington MS 	Ridgewood High School
Highland Ave 	All 	372 	590 	Orchard 	George Washington MS 	Ridgewood High School
Highview Ter 	All 	384 	410 	Orchard 	George Washington MS 	Ridgewood High School
Highwood Ave 	All 	217 	297 	Orchard 	George Washington MS 	Ridgewood High School
Hillcrest Rd 	All 	180 	1093 	Willard 	George Washington MS 	Ridgewood High School
Hope St 	All 	19 	250 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Hopper Ave 	All 	337 	437 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Howard Rd 	All 	657 	735 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Hudson St 	All 	25 	25 	Orchard 	George Washington MS 	Ridgewood High School
Hunter Rd 	All 	444 	480 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Ivy Pl 	All 	251 	275 	Orchard 	George Washington MS 	Ridgewood High School
Jackson Ter 	All 	414 	512 	Willard 	George Washington MS 	Ridgewood High School
James St 	All 	329 	338 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Jeffer Ct 	All 	152 	176 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Jeffer St 	All 	204 	345 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Jefferson St 	All 	326 	432 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Jemco Pl 	All 	510 	554 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
John St 	All 	19 	166 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Katherine Rd 	All 	177 	210 	Orchard 	George Washington MS 	Ridgewood High School
Kemah Rd 	All 	162 	227 	Ridge 	George Washington MS 	Ridgewood High School
Kenilworth Rd 	All 	14 	315 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Kenilworth Rd 	All 	320 	340 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Kensington Dr 	All 	290 	374 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Kenwood Rd 	All 	615 	656 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Kingsbridge Ln 	All 	615 	705 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Kira Ln 	All 	35 	49 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Knickerbocker Rd 	All 	558 	575 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Knollwood Rd 	All 	356 	600 	Orchard 	George Washington MS 	Ridgewood High School
Lake Ave 	All 	111 	139 	Ridge 	George Washington MS 	Ridgewood High School
Lakeview Dr 	All 	218 	340 	Ridge 	George Washington MS 	Ridgewood High School
Laurel Rd 	All 	514 	592 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Lawrence Ct 	All 	96 	127 	Willard 	George Washington MS 	Ridgewood High School
Lenox Ave 	All 	6 	129 	Orchard 	George Washington MS 	Ridgewood High School
Leonard Pl 	All 	36 	52 	Orchard 	George Washington MS 	Ridgewood High School
Leroy Pl 	All 	28 	51 	Orchard 	George Washington MS 	Ridgewood High School
Libby Ave 	All 	230 	333 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Liberty St 	All 	7 	140 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Lincoln Ave 	Odd 	115 	199 	Orchard 	George Washington MS 	Ridgewood High School
